timestamp,model_id,board_id,status,x,y,z,step,instruction,success
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
1787801220.359876,19,0,0,-0.6704393625259399,0.02468731254339218,1.290094256401062,3,软球重测,0
